time,pm2.5,pm10
2021/01/11-14:15:35,0.30,4.50
2021/01/11-14:15:36,0.30,4.90
2021/01/11-14:15:37,0.40,5.00
2021/01/11-14:15:38,0.40,4.90
2021/01/11-14:15:39,0.30,3.40
2021/01/11-14:15:40,0.30,2.80
2021/01/11-14:15:41,0.30,2.80
2021/01/11-14:15:42,0.30,2.80
2021/01/11-14:15:43,0.30,2.80
2021/01/11-14:15:44,0.40,3.00
2021/01/11-14:15:45,0.30,3.00
2021/01/11-14:15:46,0.40,3.00
2021/01/11-14:15:47,0.40,3.00
2021/01/11-14:15:48,0.40,3.40
2021/01/11-14:15:49,0.40,3.30
2021/01/11-14:15:50,0.40,2.70
2021/01/11-14:15:51,0.40,2.70
2021/01/11-14:15:52,0.40,3.40
2021/01/11-14:15:53,0.40,3.40
2021/01/11-14:15:54,0.40,3.40
2021/01/11-14:15:55,0.40,3.30
2021/01/11-14:15:56,0.40,3.30
2021/01/11-14:15:57,0.30,2.70
2021/01/11-14:15:58,0.30,2.60
2021/01/11-14:15:59,0.30,2.50
2021/01/11-14:16:00,0.40,2.50
2021/01/11-14:16:01,0.40,2.40
2021/01/11-14:16:02,0.30,2.40
2021/01/11-14:16:03,0.30,2.40
2021/01/11-14:16:04,0.30,2.40
2021/01/11-14:16:05,0.30,2.30
2021/01/11-14:16:06,0.30,2.20
2021/01/11-14:16:07,0.30,2.20
2021/01/11-14:16:08,0.30,2.20
2021/01/11-14:16:09,0.30,2.20
2021/01/11-14:16:10,0.30,2.20
2021/01/11-14:16:11,0.30,2.20
2021/01/11-14:16:12,0.30,2.20
2021/01/11-14:16:13,0.30,2.60
2021/01/11-14:16:14,0.30,2.60
2021/01/11-14:16:15,0.30,2.60
2021/01/11-14:16:16,0.30,2.60
2021/01/11-14:16:17,0.30,2.60
2021/01/11-14:16:18,0.30,2.10
2021/01/11-14:16:19,0.30,2.20
2021/01/11-14:16:20,0.40,2.20
2021/01/11-14:16:21,0.40,2.40
2021/01/11-14:16:22,0.40,1.70
2021/01/11-14:16:23,0.50,1.90
2021/01/11-14:16:24,0.60,2.40
2021/01/11-14:16:25,0.80,3.00
2021/01/11-14:16:26,1.00,3.90
2021/01/11-14:16:27,1.20,4.60
2021/01/11-14:16:28,1.40,5.40
2021/01/11-14:16:29,1.40,5.90
2021/01/11-14:16:30,1.50,6.40
2021/01/11-14:16:31,1.50,6.90
2021/01/11-14:16:32,1.50,6.90
2021/01/11-14:16:33,1.60,7.40
2021/01/11-14:16:34,1.60,7.50
2021/01/11-14:16:35,1.60,7.50
2021/01/11-14:16:36,1.70,7.40
2021/01/11-14:16:37,1.70,8.10
2021/01/11-14:16:38,1.80,8.20
2021/01/11-14:16:39,1.80,8.70
2021/01/11-14:16:40,1.90,9.20
2021/01/11-14:16:41,2.00,9.80
2021/01/11-14:16:42,2.20,10.90
2021/01/11-14:16:43,2.50,11.80
2021/01/11-14:16:44,2.70,12.70
2021/01/11-14:16:45,3.00,13.80
2021/01/11-14:16:46,3.30,15.10
2021/01/11-14:16:47,3.50,16.40
2021/01/11-14:16:48,3.70,17.80
2021/01/11-14:16:49,3.90,19.00
2021/01/11-14:16:50,4.20,20.90
2021/01/11-14:16:51,4.60,22.50
2021/01/11-14:16:52,4.80,23.80
2021/01/11-14:16:53,4.80,24.00
2021/01/11-14:16:54,4.90,25.30
2021/01/11-14:16:55,4.90,25.50
2021/01/11-14:16:56,4.90,25.00
2021/01/11-14:16:57,4.90,25.20
2021/01/11-14:16:58,5.10,27.00
2021/01/11-14:16:59,5.20,28.10
2021/01/11-14:17:00,5.30,28.30
2021/01/11-14:17:01,5.30,28.30
2021/01/11-14:17:02,5.50,29.20
2021/01/11-14:17:03,5.60,30.50
2021/01/11-14:17:04,5.80,31.50
2021/01/11-14:17:05,6.00,32.10
2021/01/11-14:17:06,6.10,33.20
