time,pm2.5,pm10,fan
2021/01/20-19:29:40,20.20,61.30,3
2021/01/20-19:29:41,20.40,61.40,3
2021/01/20-19:29:42,21.00,62.10,3
2021/01/20-19:29:43,21.70,63.10,3
2021/01/20-19:29:44,22.30,64.60,3
2021/01/20-19:29:45,23.00,66.00,3
2021/01/20-19:29:46,23.50,66.90,3
2021/01/20-19:29:47,23.80,66.40,3
2021/01/20-19:29:48,24.30,67.90,3
2021/01/20-19:29:49,24.70,68.10,3
2021/01/20-19:29:50,24.80,67.50,3
2021/01/20-19:29:51,25.10,67.50,3
2021/01/20-19:29:52,25.30,68.60,3
2021/01/20-19:29:53,25.60,69.80,3
2021/01/20-19:29:54,25.80,69.40,3
2021/01/20-19:29:55,26.00,69.60,3
2021/01/20-19:29:56,26.30,69.30,3
2021/01/20-19:29:57,26.70,68.70,3
2021/01/20-19:29:58,26.50,68.40,3
2021/01/20-19:29:59,26.40,68.50,3
2021/01/20-19:30:00,26.70,68.00,3
2021/01/20-19:30:01,26.80,67.50,3
2021/01/20-19:30:02,26.80,67.20,3
2021/01/20-19:30:03,26.60,66.50,3
2021/01/20-19:30:04,26.50,66.60,3
2021/01/20-19:30:05,26.20,63.20,3
2021/01/20-19:30:06,25.70,62.00,3
2021/01/20-19:30:07,25.50,61.70,3
2021/01/20-19:30:08,25.50,60.90,3
2021/01/20-19:30:09,25.20,60.60,3
2021/01/20-19:30:10,25.10,59.60,3
2021/01/20-19:30:11,24.90,58.00,3
2021/01/20-19:30:12,24.60,57.60,3
2021/01/20-19:30:13,24.20,56.50,3
2021/01/20-19:30:14,23.80,54.80,3
2021/01/20-19:30:15,23.40,53.40,3
2021/01/20-19:30:16,23.50,54.40,3
2021/01/20-19:30:17,23.40,53.50,3
2021/01/20-19:30:18,23.30,51.20,3
2021/01/20-19:30:19,23.10,50.90,3
2021/01/20-19:30:20,23.40,52.00,3
2021/01/20-19:30:21,23.50,53.30,3
2021/01/20-19:30:22,23.50,52.50,3
2021/01/20-19:30:23,23.50,51.40,3
2021/01/20-19:30:24,23.40,51.20,3
2021/01/20-19:30:25,23.30,51.00,3
2021/01/20-19:30:26,23.10,50.60,3
2021/01/20-19:30:27,22.80,50.40,3
2021/01/20-19:30:28,22.80,49.50,3
2021/01/20-19:30:29,22.70,48.70,3
2021/01/20-19:30:30,22.70,48.80,3
2021/01/20-19:30:31,22.60,48.30,3
2021/01/20-19:30:32,22.60,48.80,3
2021/01/20-19:30:33,22.70,49.60,3
2021/01/20-19:30:34,22.80,48.60,3
2021/01/20-19:30:35,22.60,48.50,3
2021/01/20-19:30:36,22.70,48.80,3
2021/01/20-19:30:37,23.00,48.30,3
2021/01/20-19:30:38,23.10,49.20,3
2021/01/20-19:30:39,23.20,49.70,3
2021/01/20-19:30:40,23.10,49.90,3
2021/01/20-19:30:41,23.10,50.50,3
2021/01/20-19:30:42,23.00,50.20,3
2021/01/20-19:30:43,23.00,49.40,3
2021/01/20-19:30:44,23.00,50.10,3
2021/01/20-19:30:45,23.00,50.40,3
2021/01/20-19:30:46,22.80,49.60,3
2021/01/20-19:30:47,22.90,50.30,3
2021/01/20-19:30:48,22.70,50.30,3
2021/01/20-19:30:49,22.50,49.80,3
2021/01/20-19:30:50,22.30,49.70,3
2021/01/20-19:30:51,22.20,48.20,3
2021/01/20-19:30:52,22.30,47.90,3
2021/01/20-19:30:53,22.30,47.70,3
2021/01/20-19:30:54,22.40,48.20,3
2021/01/20-19:30:55,22.20,47.60,3
2021/01/20-19:30:56,22.40,48.00,3
2021/01/20-19:30:57,22.40,47.90,3
2021/01/20-19:30:58,22.60,48.00,3
2021/01/20-19:30:59,22.80,48.60,3
2021/01/20-19:31:00,22.70,48.00,3
2021/01/20-19:31:01,22.70,48.80,3
2021/01/20-19:31:02,22.60,48.70,3
2021/01/20-19:31:03,22.50,48.20,3
2021/01/20-19:31:04,22.30,48.60,3
2021/01/20-19:31:05,22.20,48.30,3
2021/01/20-19:31:06,22.10,47.20,3
2021/01/20-19:31:07,21.80,46.90,3
2021/01/20-19:31:08,21.60,45.70,3
2021/01/20-19:31:09,21.50,45.50,3
2021/01/20-19:31:10,21.50,45.20,3
2021/01/20-19:31:11,21.40,45.40,3
2021/01/20-19:31:12,21.50,46.30,3
2021/01/20-19:31:13,21.50,46.60,3
2021/01/20-19:31:14,21.40,45.90,3
2021/01/20-19:31:15,21.40,45.70,3
2021/01/20-19:31:16,21.20,45.30,3
2021/01/20-19:31:17,21.00,45.10,3
2021/01/20-19:31:18,21.00,44.90,3
2021/01/20-19:31:19,21.10,44.80,3
2021/01/20-19:31:20,21.00,43.70,3
2021/01/20-19:31:21,21.00,43.90,3
2021/01/20-19:31:22,20.90,44.90,3
2021/01/20-19:31:23,20.90,44.20,3
2021/01/20-19:31:24,20.80,44.10,3
2021/01/20-19:31:25,20.70,44.10,3
2021/01/20-19:31:26,20.50,44.20,3
2021/01/20-19:31:27,20.40,43.90,3
2021/01/20-19:31:28,20.20,43.80,3
2021/01/20-19:31:29,20.00,43.80,3
2021/01/20-19:31:30,19.90,45.50,3
2021/01/20-19:31:31,19.60,43.90,3
2021/01/20-19:31:32,19.50,43.30,3
2021/01/20-19:31:33,19.30,42.40,3
